Province_State,Date,ConfirmedCases,Fatalities,CasePred,FataPred
Alabama,1/22/20,0.0,0.0,3.8634766e-09,6.6987175000000005e-12
Alabama,1/23/20,0.0,0.0,3.8634766e-09,6.6987175000000005e-12
Alabama,1/24/20,0.0,0.0,4.5888124e-10,6.6987175000000005e-12
Alabama,1/25/20,0.0,0.0,3.2837637999999996e-10,6.6987175000000005e-12
Alabama,1/26/20,0.0,0.0,1.9193046e-10,6.6987175000000005e-12
Alabama,1/27/20,0.0,0.0,7.815587e-11,6.6987175000000005e-12
Alabama,1/28/20,0.0,0.0,7.815587e-11,6.6987175000000005e-12
Alabama,1/29/20,0.0,0.0,7.815587e-11,6.6987175000000005e-12
Alabama,1/30/20,0.0,0.0,7.815587e-11,6.6987175000000005e-12
Alabama,1/31/20,0.0,0.0,7.846310999999999e-11,6.6987175000000005e-12
Alabama,2/01/20,0.0,0.0,8.894088000000001e-11,6.6987175000000005e-12
Alabama,2/02/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/03/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/04/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/05/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/06/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/07/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/08/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/09/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/10/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/11/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/12/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/13/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/14/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
Alabama,2/15/20,0.0,0.0,6.357276e-11,6.6987175000000005e-12
