Province_State,Date,ConfirmedCases,Fatalities,CasePred,FataPred
Alabama,1/22/20,0.0,0.0,4.8036735e-09,4.5344726e-12
Alabama,1/23/20,0.0,0.0,4.8036735e-09,4.5344726e-12
Alabama,1/24/20,0.0,0.0,4.0653772e-10,4.5344726e-12
Alabama,1/25/20,0.0,0.0,4.776818400000001e-10,4.5344726e-12
Alabama,1/26/20,0.0,0.0,2.5664476e-10,4.5344726e-12
Alabama,1/27/20,0.0,0.0,8.946218e-11,4.5344726e-12
Alabama,1/28/20,0.0,0.0,8.946218e-11,4.5344726e-12
Alabama,1/29/20,0.0,0.0,8.946218e-11,4.5344726e-12
Alabama,1/30/20,0.0,0.0,8.946218e-11,4.5344726e-12
Alabama,1/31/20,0.0,0.0,8.9599134e-11,4.5344726e-12
Alabama,2/01/20,0.0,0.0,1.0566968e-10,4.5344726e-12
Alabama,2/02/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/03/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/04/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/05/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/06/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/07/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/08/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/09/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/10/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/11/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/12/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/13/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/14/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/15/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/16/20,0.0,0.0,8.5959816e-11,4.5344726e-12
Alabama,2/17/20,0.0,0.0,8.5959816e-11,4.5344726e-12
